state,product_category_name,count,category_code
SP,cama_mesa_banho,2194113,2
MG,informatica_acessorios,380220,6
PR,esporte_lazer,209481,4
RJ,beleza_saude,176320,1
SC,esporte_lazer,119896,4
RS,informatica_acessorios,66707,6
MA,beleza_saude,40095,1
BA,telefonia,36323,11
DF,eletronicos,17634,3
ES,ferramentas_jardim,12932,5
PE,informatica_acessorios,7760,6
GO,perfumaria,3870,9
MS,automotivo,3467,0
MT,beleza_saude,3380,1
RN,livros_interesse_geral,2691,7
PA,esporte_lazer,2568,4
RO,automotivo,1704,0
CE,beleza_saude,1212,1
PB,relogios_presentes,768,10
SE,informatica_acessorios,244,6
AC,livros_tecnicos,164,8
AM,telefonia,81,11
PI,automotivo,48,0
